question,generated_answer,retrieved_contexts,golden_answer,Faithfulness
Ovarian torsion in children: is oophorectomy necessary?,"No, oophorectomy is not necessary for ovarian torsion in children. According to the study, simple detorsion was not accompanied by an increase in morbidity, and all patients studied had functioning ovarian tissue on follow-up despite the surgeon's assessment of the degree of ovarian ischemia. The study concludes that detorsion is the procedure of choice for most cases of ovarian torsion in children.","['BACKGROUND: Most pediatric surgeons perform oophorectomy in girls presenting \nwith ovarian torsion in which the ovary appears necrotic. However, the adult \ngynecology literature suggests that many ovaries can be treated by detorsion \nalone.\nMETHODS: All children with ovarian torsion on the gynecology and general surgery \nservices between 1988 and 2002 were reviewed.\nRESULTS: There were 36 torsions in 34 children. Seventeen underwent detorsion \nwith or without ovarian cystectomy, and 19 had oophorectomy (mean age 10 years \nin both groups). Torsion was suspected preoperatively in 94% of the detorsion \ncases and in 47% of the oophorectomy patients. Median time from presentation to \nsurgery was significantly lower in the detorsion than the oophorectomy group', ""surgery was significantly lower in the detorsion than the oophorectomy group \n(median 14 v 27 hours; P =.04). Postoperative complications and length of stay \nwere similar between the 2 groups. Despite the ovary being judged \nintraoperatively as moderately to severely ischemic in 53% of the detorsion \ncases, follow-up sonogram or ovarian biopsy available in 14 of the 17 cases \nshowed normal ovary with follicular development in each case.\nCONCLUSIONS: Simple detorsion was not accompanied by an increase in morbidity, \nand all patients studied had functioning ovarian tissue on follow-up despite the \nsurgeon's assessment of the degree of ovarian ischemia. Detorsion is the \nprocedure of choice for most cases of ovarian torsion in children."", 'BACKGROUND: Controlled ovarian stimulation (COS) with intrauterine insemination \n(IUI) is a common treatment in couples with unexplained non-conception. \nInduction of multifollicular growth is considered to improve pregnancy outcome, \nbut it contains an increased risk of multiple pregnancies and ovarian \nhyperstimulation syndrome. In this study the impact of the number of follicles \n(>14 mm) on the ongoing pregnancy rate (PR) and multiple PR was evaluated in the \nfirst four treatment cycles.\nMETHODS: A retrospective cohort study was performed in all couples with \nunexplained non-conception undergoing COS-IUI in the Academic Hospital of \nMaastricht. The main outcome measure was ongoing PR. Secondary outcomes were']","Simple detorsion was not accompanied by an increase in morbidity, and all patients studied had functioning ovarian tissue on follow-up despite the surgeon's assessment of the degree of ovarian ischemia. Detorsion is the procedure of choice for most cases of ovarian torsion in children.",1.0
Are octogenarians at high risk for carotid endarterectomy?,"No, according to the provided context, being an octogenarian alone should not place patients in the high-risk category for carotid endarterectomy. The study found that combined end points for adverse events are acceptable in octogenarians, with low rates of perioperative neurologic complications (4 events in 103 procedures) and no deaths. This suggests that age alone is not a sufficient reason to consider octogenarians as high-risk for carotid endarterectomy.","['CONCLUSIONS: Combined end points for adverse events are acceptable in the \noctogenarian. Carotid endarterectomy remains the gold standard for treatment of \nextracranial carotid disease in all age groups. Age alone should not place \npatients in the high-risk category for carotid endarterectomy.', 'BACKGROUND: Several prospective randomized trials have proved carotid \nendarterectomy to be safe and effective for both symptomatic and asymptomatic \npatients younger than 80 years of age. Recently, carotid artery stenting (CAS) \nhas been approved for use in selected high-risk patients. It has been proposed \nthat being an octogenarian places patients in this high-risk category.\nSTUDY DESIGN: All patients between the ages of 80 to 89 years undergoing carotid \nendarterectomy during a 12-year period were included in the study. Information \nincluded indications for carotid endarterectomy, associated risk factors, length \nof stay, and hospital course. Perioperative morbidity and mortality, including \nneurologic events and myocardial infarction, were recorded.', 'neurologic events and myocardial infarction, were recorded.\nRESULTS: A total of 103 carotid endarterectomies were performed in 95 \noctogenarians. Procedures were performed on 59 men and 36 women. Indications for \noperation included symptomatic carotid stenosis in 44 patients (43%) and \nasymptomatic carotid stenosis in 59 (57%). Associated risk factors included \ndiabetes mellitus (17%), hypertension (76%), coronary artery disease (28%), \nhyperlipidemia (39%), and history of smoking (42%). There were 4 perioperative \nneurologic complications, which included 1 transient ischemic attack (0.97%), 2 \nminor strokes (1.94%), and 1 major stroke (0.97%). There were no deaths.\nCONCLUSIONS: Combined end points for adverse events are acceptable in the']",Combined end points for adverse events are acceptable in the octogenarian. Carotid endarterectomy remains the gold standard for treatment of extracranial carotid disease in all age groups. Age alone should not place patients in the high-risk category for carotid endarterectomy.,1.0
Is calibration the cause of variation in liquid chromatography tandem mass spectrometry testosterone measurement?,"No, calibration is not the cause of variation in liquid chromatography tandem mass spectrometry testosterone measurement. According to the study, ""The variation in results obtained could not be attributed to variations in calibrators. The differences in methodologies between laboratories must be the reason for this variation."" (Document id='2adbd25b-4595-5200-bc58-437578a86a91')","['BACKGROUND: Testosterone measurement by liquid chromatography tandem mass \nspectrometry (LC-MS/MS) is well accepted as the preferred technique for the \nanalysis of testosterone. Variation is seen between assays and this may be due \nto differences in calibration as commercial calibrators for this assay are not \nreadily available. We investigated the effects calibration in routine clinical \nLC-MS/MS assays.\nMETHODS: All LC-MS/MS users that were registered with the UKNEQAS external \nquality assurance scheme for testosterone were invited to take part in the \nstudy. A set of seven serum samples and serum-based calibrators were sent to all \nlaboratories that expressed an interest. The laboratories were instructed to \nanalyse all samples using there own calibrators and return the results and a', 'analyse all samples using there own calibrators and return the results and a \nmethod questionnaire for analysis.\nRESULTS: Fifteen laboratories took part in the study. There was no consensus on \nsupplier of testosterone or matrix for the preparation of calibrators and all \nwere prepared in-house. Also, a wide variety of mass spectrometers, internal \nstandards, chromatography conditions and sample extractions were used. The \nvariation in results did not improve when the results were corrected with a \ncommon calibrator.\nCONCLUSIONS: The variation in results obtained could not be attributed to \nvariations in calibrators. The differences in methodologies between laboratories \nmust be the reason for this variation.', 'binding globulin (SHBG) and albumin. Also free and bioavailable testosterone \nwere calculated. PADAM was considered present if items 1 or 7 or any 3 other \nquestions of the ADAM questionnaire were positive. An available testosterone of \n<198.4 ng/dL was used as a gold standard for the diagnosis of PADAM.\nRESULTS: A total of 78 men (81.3%) were identified as possible PADAM according \nto the ADAM questionnaire. Total testosterone levels fell from 503.6+/-180.1 \nng/dL in men aged 40 to 54 years to 382.1+/-247.3 in those >70 years; however \nthis was not statistically significant (ANOVA, p=0.06). In the same age groups, \nSHBG significantly increased (31.0+/-15.0 to 47.5+/-15.0 nmol/L, p<0.001) \nwhereas free and available testosterone significantly decreased (10.6+/-3.2 to']",The variation in results obtained could not be attributed to variations in calibrators. The differences in methodologies between laboratories must be the reason for this variation.,1.0
Do supervised colorectal trainees differ from consultants in terms of quality of TME surgery?,"No, supervised colorectal trainees do not differ from consultants in terms of quality of TME (Total Mesorectal Excision) surgery. The quality of rectal cancer excision, as defined by mesorectal grades, achieved by supervised colorectal trainees is comparable to that achieved by consultants, with no statistically significant difference (P = 0.717) between the two groups.","['potentially curative resection. Furthermore, there were seven local recurrences \nin patients operated by consultants (7.8%) when compared with four in the \ntrainee group (9.5%) and once again there was no statistical significance \nbetween the two groups (P = 0.719).\nCONCLUSION: We conclude that the quality of rectal cancer excision, as defined \nby mesorectal grades, achieved by supervised colorectal trainees is comparable \nwith that achieved by consultants.', 'according to staged classification proposed by Quirke. The outcome (quality of \nmesorectal excision and secondary outcomes including local recurrence and \noverall recurrence) of operations performed by consultants was compared with \nthat of trainees. Statistical significance was tested using Pearson chi(2) test.\nRESULTS: Eighty-nine operations were performed by consultants and 41 by senior \ncolorectal trainees with consultant supervision. Forty-four patients (49%) had \ngood mesorectum when operated by consultants in comparison with 17 (41.5%) by \nthe trainees. There was no statistically significant difference (P = 0.717) \nbetween the two groups in terms of quality of mesorectum excised after \npotentially curative resection. Furthermore, there were seven local recurrences', 'Collaborators: Bemelman WA, Busch OR, van Dam RM, Jansen-Landheer ML, Karsten \nTM, van Krieken JH, Kuijpers WG, Lemmens VE, Manusama ER, Meijerink JH, Rutten \nHJ.\nAuthor information:\n(1)Department of Surgery, Leiden University Medical Center, PO Box 9600, Leiden \n2300 RC, The Netherlands.\nOBJECTIVE: To determine if composite measures based on process indicators are \nconsistent with short-term outcome indicators in surgical colorectal cancer \ncare.\nDESIGN: Longitudinal analysis of consistency between composite measures based on \nprocess indicators and outcome indicators for 85 Dutch hospitals.\nSETTING: The Dutch Surgical Colorectal Audit database, the Netherlands.\nPARTICIPANTS: 4732 elective patients with colon carcinoma and 2239 with rectum']","We conclude that the quality of rectal cancer excision, as defined by mesorectal grades, achieved by supervised colorectal trainees is comparable with that achieved by consultants.",1.0
Is diffusion-weighted imaging a significant indicator of the development of vascularization in hypovascular hepatocellular lesions?,"No, according to the provided context, diffusion-weighted imaging (DWI) is not a significant indicator of the development of vascularization in hypovascular hepatocellular lesions. The study found that the differences in the development of vascularization among hypointense, isointense, and hyperintense lesions on DWI were not statistically significant. The conclusion states that ""The signal intensity on DWI showed no significant difference in the development of vascularization."" (Document id='262ea62a-b91f-5f3c-ba7b-d08106bc67bc')","['OBJECTIVE: The objective was to evaluate the efficacy of diffusion-weighted \nimaging (DWI) in predicting the development of vascularization in hypovascular \nhepatocellular lesions (HHLs).\nMATERIALS AND METHODS: Forty-two HHLs that were diagnosed by computed \ntomographic (CT) arteriography were evaluated retrospectively. The lesion on DWI \nwas classified as isointense, hypointense, or hyperintense. Follow-up studies \nthat included intravenous dynamic CT or magnetic resonance imaging were \nperformed.\nRESULTS: The 730-day cumulative developments of vascularization in hypointense, \nisointense, and hyperintense lesions were 17%, 30%, and 40%, respectively. The \ndifferences among these developments were not statistically significant.', 'differences among these developments were not statistically significant.\nCONCLUSION: The signal intensity on DWI showed no significant difference in the \ndevelopment of vascularization.', 'BACKGROUND: Staging laparoscopy (SL) is not regularly performed for patients \nwith hepatocellular carcinoma (HCC). It may change treatment strategy, \npreventing unnecessary open exploration. An additional advantage of SL is \npossible biopsy of the nontumorous liver to assess fibrosis/cirrhosis. This \nstudy aimed to determine whether SL for patients with HCC still is useful.\nMETHODS: Patients with HCC who underwent SL between January 1999 and December \n2011 were analyzed. Their demographics, preoperative imaging studies, surgical \nfindings, and histology were assessed.\nRESULTS: The 56 patients (34 men and 22 women; mean age, 60 ± 14 years) in this \nstudy underwent SL for assessment of extensive disease or metastases. For two']",The signal intensity on DWI showed no significant difference in the development of vascularization.,1.0
Blunt trauma in intoxicated patients: is computed tomography of the abdomen always necessary?,"No, computed tomography (CT) of the abdomen is not always necessary in blunt trauma patients who are intoxicated, hemodynamically stable, and have a normal abdominal examination and normal mentation. According to the study, the incidence of abdominal injury in such patients is low, and physical examination and attention to clinical risk factors can allow for accurate abdominal evaluation without CT. This is supported by the findings of the study, which showed that out of 324 patients, 317 (98%) had CT scans negative for abdominal injury, and only 2 (0.6%) required abdominal exploration.","['BACKGROUND: Physical examination to detect abdominal injuries has been \nconsidered unreliable in alcohol-intoxicated trauma patients. Computed \ntomography (CT) plays the primary role in these abdominal evaluations.\nMETHODS: We reviewed medical records of all blunt trauma patients admitted to \nour trauma service from January 1, 1992, to March 31, 1998. Study patients had a \nblood alcohol level > or =80 mg/dL, Glasgow Coma Scale (GCS) score of 15, and \nunremarkable abdominal examination.\nRESULTS: Of 324 patients studied, 317 (98%) had CT scans negative for abdominal \ninjury. Abdominal injuries were identified in 7 patients (2%), with only 2 \n(0.6%) requiring abdominal exploration. A significant association was found \nbetween major chest injury and abdominal injury.', 'between major chest injury and abdominal injury.\nCONCLUSION: The incidence of abdominal injury in intoxicated, hemodynamically \nstable, blunt trauma patients with a normal abdominal examination and normal \nmentation is low. Physical examination and attention to clinical risk factors \nallow accurate abdominal evaluation without CT.', 'INTRODUCTION: Recent suicide bombings pose the novel problem for Trauma Centers \nof the massive simultaneous arrival of many gravely wounded patients.\nMETHODS: We report the experience of the French-German Military Trauma Group, a \nLevel 2 Trauma Center, in Afghanistan during the wave of suicide bombings in \nFebruary 2007.\nRESULTS: Fourteen casualties were received. A first triage was carried out by \nthe U S Army Level I group prior to evacuation. A second surgical triage was \ncarried out with systematic ultrasound exam. Four cases (ISS>25) were \nre-categorized and underwent emergency surgical procedures.\nCONCLUSION: Suicide bombing in crowded locations near an evacuation hospital may \noverwhelm the medical resources of the receiving center. It has been referred to']","The incidence of abdominal injury in intoxicated, hemodynamically stable, blunt trauma patients with a normal abdominal examination and normal mentation is low. Physical examination and attention to clinical risk factors allow accurate abdominal evaluation without CT.",1.0
Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,"The provided context does not explicitly answer the question of whether well-differentiated hepatocellular carcinoma (HCC) is clinically early cancer. However, the first document (id='e1128ecd-7f40-5acf-a020-7771d2c6aa4a') suggests that well-differentiated (w-d) HCCs had lower incidences of fibrous capsule formation compared to less-differentiated (l-d) HCCs, but it does not provide conclusive evidence to determine if w-d HCC is clinically early cancer.

To directly answer the question based on the provided context, there is insufficient information to confirm whether well-differentiated small hepatocellular carcinoma is clinically early cancer. The context provides some characteristics and behaviors of w-d HCC but does not explicitly state its clinical stage or implications.","[""BACKGROUND/AIMS: The purpose of this study is to examine whether or not well \ndifferentiated (w-d) hepatocellular carcinoma (HCC) is indeed clinically early \ncancer.\nMATERIALS AND METHODS: Seventy six patients with solitary small HCCs up to 3 cm \nin diameter, who underwent hepatectomy, were observed for at least 2 years for \npossible recurrence. These patients were divided into two groups: 10 patients \nwith w-d HCCs (Edmondson and Steiner's grade I) and 66 patients with less \ndifferentiated (l-d) HCCs (Edmondson and Steiner's grade I-II, II-III, and III).\nRESULTS: The histological analysis revealed that w-d HCCs had lower incidences \nof fibrous capsule formation (P<0.01), when compared to l-d HCCs. There were no"", 'BACKGROUND: Staging laparoscopy (SL) is not regularly performed for patients \nwith hepatocellular carcinoma (HCC). It may change treatment strategy, \npreventing unnecessary open exploration. An additional advantage of SL is \npossible biopsy of the nontumorous liver to assess fibrosis/cirrhosis. This \nstudy aimed to determine whether SL for patients with HCC still is useful.\nMETHODS: Patients with HCC who underwent SL between January 1999 and December \n2011 were analyzed. Their demographics, preoperative imaging studies, surgical \nfindings, and histology were assessed.\nRESULTS: The 56 patients (34 men and 22 women; mean age, 60 ± 14 years) in this \nstudy underwent SL for assessment of extensive disease or metastases. For two', 'PURPOSE: To evaluate retrospectively whether technical factors of hepatic \narterial embolization affect the prognosis of patients with hepatocellular \ncarcinoma (HCC).\nMATERIALS AND METHODS: Inclusion criteria of this study were the following: (1) \npatients received embolization as the initial treatment during 2003-2004, (2) \nChild A or B liver profile, (3) five or fewer HCCs with maximum diameter of 7 cm \nor smaller, and (4) no extrahepatic metastasis. Patient data were gathered from \n43 centers. Prognostic factors were evaluated using univariate and multivariate \nanalyses.\nRESULTS: Eight hundred fifteen patients were enrolled. The 1-, 3-, 5-, and \n7-year overall survival rates were 92.0 % (95 % CI 90.1-93.9), 62.9 % (95 % CI']","W-d HCCs were clinically demonstrated not to be early cancer, because there was no significant difference in disease free survival between the patients with w-d and l-d HCCs.",1.0
Does high-dose radiotherapy benefit palliative lung cancer patients?,"No, the provided context does not suggest that high-dose radiotherapy benefits palliative lung cancer patients. According to the text, the median survival times for patients treated with 25 Gy in 5 fractions and 50 Gy in 20 fractions were similar, with p-values of 0.334, 0.694, and 0.248, indicating no significant difference in overall survival between the two dose regimens. The conclusion states that ""The palliative treatment concept of 25 Gy applied in 5 fractions is sufficient for radiation of lung cancer, given that there was no obvious survival improvement in patients treated with the higher total dose regimen.""","['p\u2009=\u20090.334). For patients with a good-fair overall condition, median survival \ntimes were 30\xa0weeks (21.8-39.2\xa0weeks) for 25\xa0Gy in 5\xa0fractions and 28\xa0weeks \n(14.2-41.8\xa0weeks) for 50\xa0Gy in 20\xa0fractions (CI 95\u2009%, p\u2009=\u20090.694). In patients \nwith a poor overall condition, these values were 18\xa0weeks (14.5-21.5\xa0weeks) and \n21\xa0weeks (13.0-29.0\xa0weeks), respectively (CI 95\u2009%, p\u2009=\u20090.248).\nCONCLUSION: The palliative treatment concept of 25\xa0Gy applied in 5\xa0fractions is \nsufficient for radiation of lung cancer, given that there was no obvious \nsurvival improvement in patients treated with the higher total dose regimen.', 'BACKGROUND AND PURPOSE: The present analysis compares two palliative treatment \nconcepts for lung cancer in terms of overall survival.\nPATIENTS AND METHODS: Survival data from 207\xa0patients were used in a \nretrospective analysis. All patients received palliative treatment comprising \neither 25\xa0Gy applied in 5\xa0fractions or 50\xa0Gy in 20\xa0fractions. A subgroup \nanalysis was performed to compare patients with a good-fair vs. poor overall \ncondition.\nRESULTS: Median survival times were 21\xa0weeks (range\xa06-26\xa0weeks) for patients \ntreated with 25\xa0Gy in 5\xa0fractions and 23\xa0weeks (range\xa014.5-31.5\xa0weeks) for \npatients treated with 50\xa0Gy in 20\xa0fractions (95\u2009% confidence interval, CI; \np\u2009=\u20090.334). For patients with a good-fair overall condition, median survival', 'treatment (n = 119) are described here.\nRESULTS: The majority of these patients (75%) chose the lower radiation dose. \nTheir choice was highly consistent (P < or = .001), with the importance weights \nassigned to the probability of survival, cure (odds ratio [OR] = 6.7 and 6.9) \nand late GI and genitourinary adverse effects (OR = 0.1 and 0.2). The lower dose \nwas chosen more often by the older patients, low-risk patients, patients without \nhormone treatment, and patients with a low anxiety or depression score.\nCONCLUSION: Most patients with localized prostate cancer prefer the lower \nradiation dose. Our findings indicate that many patients attach more weight to \nspecific quality-of-life aspects (eg, GI toxicity) than to improving survival.']","The palliative treatment concept of 25 Gy applied in 5 fractions is sufficient for radiation of lung cancer, given that there was no obvious survival improvement in patients treated with the higher total dose regimen.",1.0
Does route of delivery affect maternal and perinatal outcome in women with eclampsia?,"According to the provided context, specifically Document(id='8483f0d7-af5c-53d0-9309-6cfa3f0145d6') and Document(id='597b1401-890d-5c18-80dd-c94d18085002'), a policy of early cesarean delivery in eclampsia, carrying ≥34 weeks, is not associated with better outcomes. The study found that maternal event rates were similar between cesarean and vaginal delivery (10.89% vs 7.07%, relative risk 1.54, 95% CI 0.62-3.81), and although the neonatal event rate was less in cesarean delivery (9.90% vs 19.19%, relative risk 0.52, 95% CI 0.25-1.05), the difference was not statistically significant. Therefore, the route of delivery does not significantly affect maternal and perinatal outcomes in women with eclampsia.","['OBJECTIVE: The route of delivery in eclampsia is controversial. We hypothesized \nthat adverse maternal and perinatal outcomes may not be improved by early \ncesarean delivery.\nSTUDY DESIGN: This was a randomized controlled exploratory trial carried out in \na rural teaching institution. In all, 200 eclampsia cases, carrying ≥34 weeks, \nwere allocated to either cesarean or vaginal delivery. Composite maternal and \nperinatal event rates (death and severe morbidity) were compared by \nintention-to-treat principle.\nRESULTS: Groups were comparable at baseline with respect to age and key clinical \nparameters. Maternal event rate was similar: 10.89% in the cesarean arm vs 7.07% \nfor vaginal delivery (relative risk, 1.54; 95% confidence interval, 0.62-3.81).', 'for vaginal delivery (relative risk, 1.54; 95% confidence interval, 0.62-3.81). \nAlthough the neonatal event rate was less in cesarean delivery-9.90% vs 19.19% \n(relative risk, 0.52; 95% confidence interval, 0.25-1.05)-the difference was not \nsignificant statistically.\nCONCLUSION: A policy of early cesarean delivery in eclampsia, carrying ≥34 \nweeks, is not associated with better outcomes.', '1.15, 95% CI 1.02-1.29) composite outcomes, and with reduced gestational age at \ndelivery (coefficient: -0.46, 95% CI -0.54 to -0.38).\nCONCLUSIONS: ACR is an independent prognostic factor for maternal and neonatal \nadverse outcomes in suspected preeclampsia. ACR may be useful to inform risk \npredictions within a prognostic model.\n© 2017 The Authors. Acta Obstetricia et Gynecologica Scandinavica published by \nJohn Wiley & Sons Ltd on behalf of Nordic Federation of Societies of Obstetrics \nand Gynecology (NFOG).']","A policy of early cesarean delivery in eclampsia, carrying ≥34 weeks, is not associated with better outcomes.",1.0
Does anastomotic leakage affect functional outcome after rectal resection for cancer?,"According to the provided context, specifically Document(id='896b2aa2-f80c-57b1-9b0c-f0fd8d483b12'), the answer is: 

No, anastomotic leakage does not significantly affect functional outcome, specifically continence function, after rectal resection for cancer. The continence score in patients after anastomotic leakage did not differ significantly from that in patients without complications, and sphincter function was similar. Maximum tolerable volume and rectal compliance were slightly but not significantly worse after leakage.","['BACKGROUND: Anastomotic leakage is the most threatening early complication in \nsphincter-preserving rectal cancer surgery. While the oncological consequences \nhave been well examined, only few data exist about the functional outcome.\nPATIENTS AND METHODS: We investigated continence function in 150 patients after \ncurative sphincter-preserving rectal cancer surgery. Functional results were \ncompared in 22 patients with a clinically relevant anastomotic leakage, \nconfirmed radiologically or endoscopically, and 128 patients with uneventful \nrecovery. Evaluation of continence function was based on the Cleveland Clinic \nContinence Score and was examined in all patients with anastomotic leakage and \nin 111 patients without complications 107+/-46 weeks postoperatively.', 'in 111 patients without complications 107+/-46 weeks postoperatively. \nAdditionally, 14 patients with anastomotic leakage and 58 patients with \nuneventful recovery underwent anorectal manometry 26+/-15 weeks postoperatively.\nRESULTS: The continence score in patients after anastomotic leakage did not \ndiffer significantly from that in patients without complications. Sphincter \nfunction was similar. Maximum tolerable volume and rectal compliance were \nslightly but not significantly worse after leakage.\nCONCLUSIONS: Continence function remained undisturbed after anastomotic leakage \ndue to rectal resection', 'AIM: Colorectal resection is frequently performed during cytoreductive surgery \nfor gynaecological malignancy. The aim of this study was to assess the safety of \ncolorectal anastomosis, and especially low rectal anastomosis, in the absence of \na protective stoma in patients with gynaecological cancer and peritoneal \nmetastasis.\nMETHOD: Patient data were retrospectively collected from a database for \ngynaecological cancer procedures carried out between January 2013 and July 2015. \nAll patients who underwent a colorectal resection during cytoreduction were \nincluded in the study. The primary outcome was anastomotic leakage in the \npresence or absence of a diverting stoma. Secondary outcome parameters were \ncomplications and reoperations.']",Continence function remained undisturbed after anastomotic leakage due to rectal resection,1.0
Does septoplasty change the dimensions of compensatory hypertrophy of the middle turbinate?,"No, septoplasty does not change the dimensions of compensatory hypertrophy of the middle turbinate. The study findings suggest that ""the dimensions of bony and mucosal components of the middle turbinate on concave and convex sides of the septum were not significantly changed by septoplasty."" (Document id='221f71f0-7251-555f-ad41-13af98cfe0c0') Additionally, the conclusion of the study states that ""compensatory hypertrophy of the middle turbinate is not affected by septoplasty, even after one year."" (Document id='aa318a06-b8ab-5c8d-8d68-f15663153532')","['septoplasty. There was a significant negative correlation after septoplasty \nbetween the angle of the septum and the middle turbinate total area on the \ndeviated side (p = 0.033).\nCONCLUSION: The present study findings suggest that compensatory hypertrophy of \nthe middle turbinate is not affected by septoplasty, even after one year.', 'OBJECTIVE: To measure the dimensions of compensatory hypertrophy of the middle \nturbinate in patients with nasal septal deviation, before and after septoplasty.\nMETHODS: The mucosal and bony structures of the middle turbinate and the angle \nof the septum were measured using radiological analysis before septoplasty and \nat least one year after septoplasty. All pre- and post-operative measurements of \nthe middle turbinate were compared using the paired sample t-test and Wilcoxon \nrank sum test.\nRESULTS: The dimensions of bony and mucosal components of the middle turbinate \non concave and convex sides of the septum were not significantly changed by \nseptoplasty. There was a significant negative correlation after septoplasty', 'OBJECTIVE: To discuss and compare the results of suturing the nasal septum after \nseptoplasty with the results of nasal packing.\nMETHODS: A prospective study, which was performed at Prince Hashem Military \nHospital in Zarqa, Jordan and Prince Rashed Military Hospital in Irbid, Jordan \nbetween September 2005 and August 2006 included 169 consecutive patients that \nunderwent septoplasty. The patients were randomly divided into 2 groups. After \ncompletion of surgery, the nasal septum was sutured in the first group while \nnasal packing was performed in the second group.\nRESULTS: Thirteen patients (15.3%) in the first group and 11 patients (13%) in \nthe second group had minor oozing in the first 24 hours, 4 patients (4.8%) had']","The present study findings suggest that compensatory hypertrophy of the middle turbinate is not affected by septoplasty, even after one year.",1.0
Does the distribution of health care benefits in Kenya meet the principles of universal coverage?,"No, the distribution of health care benefits in Kenya does not meet the principles of universal coverage. According to the text, ""Benefits were distributed on the basis of ability to pay and not on need for care"" and ""The Kenyan health sector is clearly inequitable and benefits are not distributed on the basis of need."" This indicates that the current distribution of health care benefits in Kenya does not align with the principles of universal coverage, which require that all individuals benefit from health care according to their need, regardless of their ability to pay.","['BACKGROUND: The 58th World Health Assembly called for all health systems to move \ntowards universal coverage where everyone has access to key promotive, \npreventive, curative and rehabilitative health interventions at an affordable \ncost. Universal coverage involves ensuring that health care benefits are \ndistributed on the basis of need for care and not on ability to pay. The \ndistribution of health care benefits is therefore an important policy question, \nwhich health systems should address. The aim of this study is to assess the \ndistribution of health care benefits in the Kenyan health system, compare \nchanges over two time periods and demonstrate the extent to which the \ndistribution meets the principles of universal coverage.', 'remained pro-rich. Larger pro-rich disparities were recorded for inpatient \ncompared to outpatient benefits at the hospital level, but primary health care \nservices were pro-poor. Benefits were distributed on the basis of ability to pay \nand not on need for care.\nCONCLUSIONS: The principles of universal coverage require that all should \nbenefit from health care according to need. The Kenyan health sector is clearly \ninequitable and benefits are not distributed on the basis of need. Deliberate \nefforts should be directed to restructuring the Kenyan health system to address \naccess barriers and ensure that all Kenyans benefit from health care when they \nneed it.', 'distribution meets the principles of universal coverage.\nMETHODS: Two nationally representative cross-sectional households surveys \nconducted in 2003 and 2007 were the main sources of data. A comprehensive \nanalysis of the entire health system is conducted including the public sector, \nprivate-not-for-profit and private-for-profit sectors. Standard benefit \nincidence analysis techniques were applied and adopted to allow application to \nprivate sector services.\nRESULTS: The three sectors recorded similar levels of pro-rich distribution in \n2003, but in 2007, the private-not-for-profit sector was pro-poor, public sector \nbenefits showed an equal distribution, while the private-for-profit sector \nremained pro-rich. Larger pro-rich disparities were recorded for inpatient']",The principles of universal coverage require that all should benefit from health care according to need. The Kenyan health sector is clearly inequitable and benefits are not distributed on the basis of need. Deliberate efforts should be directed to restructuring the Kenyan health system to address access barriers and ensure that all Kenyans benefit from health care when they need it.,1.0
Can multiple SNP testing in BRCA2 and BRCA1 female carriers be used to improve risk prediction models in conjunction with clinical assessment?,"Yes, multiple SNP testing in BRCA2 and BRCA1 female carriers can be used to improve risk prediction models in conjunction with clinical assessment. The study found that coupling the genetic SNP score with clinical/demographic markers resulted in improved prediction performance, as evidenced by the average 1 - c-index values of 0.221 for BRCA1 carriers and 0.215 for BRCA2 carriers.","['BACKGROUND: Several single nucleotide polymorphisms (SNPs) at different loci \nhave been associated with breast cancer susceptibility, accounting for around \n10% of the familial component. Recent studies have found direct associations \nbetween specific SNPs and breast cancer in BRCA1/2 mutation carriers. Our aim \nwas to determine whether validated susceptibility SNP scores improve the \npredictive ability of risk models in comparison/conjunction to other \nclinical/demographic information.\nMETHODS: Female BRCA1/2 carriers were identified from the Manchester genetic \ndatabase, and included in the study regardless of breast cancer status or age. \nDNA was extracted from blood samples provided by these women and used for gene', 'years (44.9-48.1) for BRCA1 carriers and 48.9 (47.3-50.4) for BRCA2. By fitting \nCox models and random survival forests, including both a genetic SNP score and \nclinical/demographic variables, average 1 - c-index values were 0.221 (st.dev. \n0.019) for BRCA1 carriers and 0.215 (st.dev. 0.018) for BRCA2 carriers.\nCONCLUSIONS: Random survival forests did not yield higher performance compared \nto Cox proportional hazards. We found improvement in prediction performance when \ncoupling the genetic SNP score with clinical/demographic markers, which warrants \nfurther investigation.', ""DNA was extracted from blood samples provided by these women and used for gene \nand SNP profiling. Estimates of survival were examined with Kaplan-Meier curves. \nMultivariable Cox proportional hazards models were fit in the separate BRCA \ndatasets and in menopausal stages screening different combinations of \nclinical/demographic/genetic variables. Nonlinear random survival forests were \nalso fit to identify relevant interactions. Models were compared using Harrell's \nconcordance index (1 - c-index).\nRESULTS: 548 female BRCA1 mutation carriers and 523 BRCA2 carriers were \nidentified from the database. Median Kaplan-Meier estimate of survival was 46.0 \nyears (44.9-48.1) for BRCA1 carriers and 48.9 (47.3-50.4) for BRCA2. By fitting""]","Random survival forests did not yield higher performance compared to Cox proportional hazards. We found improvement in prediction performance when coupling the genetic SNP score with clinical/demographic markers, which warrants further investigation.",1.0
