question_idx,question,severity_tier,severity_weight,faithfulness,hallucination_rate,cwhs_contribution,correctness,css_contribution
96,Are wandering and physically nonaggressive agitation equivalent?,Medium,2,1.0,0.0,0.0,0.8,0.16
97,Does feeding tube insertion and its timing improve survival?,Medium,2,1.0,0.0,0.0,1.0,0.0
98,Do family physicians know the costs of medical care?,Low,1,1.0,0.0,0.0,1.0,0.0
99,"Laparoscopic myomectomy: do size, number, and location of the myomas form limiting factors for laparoscopic myomectomy?",Medium,2,1.0,0.0,0.0,1.0,0.0
100,Is it Crohn's disease?,Medium,2,1.0,0.0,0.0,0.0,0.8
101,"Expression of c-kit protooncogen in hepatitis B virus-induced chronic hepatitis, cirrhosis and hepatocellular carcinoma: has it a diagnostic role?",Medium,2,1.0,0.0,0.0,0.2,0.64
102,Is a specialised training of phonological awareness indicated in every preschool child?,Medium,2,1.0,0.0,0.0,1.0,0.0
103,Rectal cancer threatening or affecting the prostatic plane: is partial prostatectomy oncologically adequate?,High,3,1.0,0.0,0.0,0.8,0.24
104,"Actinobaculum schaalii, a cause of urinary tract infections in children?",Medium,2,1.0,0.0,0.0,0.2,0.64
105,Is the processing of affective prosody influenced by spatial attention?,Low,1,1.0,0.0,0.0,1.0,0.0
106,Is the international normalised ratio (INR) reliable?,Medium,2,1.0,0.0,0.0,0.6,0.32
107,Does aerobic fitness influence microvascular function in healthy adults at risk of developing Type 2 diabetes?,Medium,2,1.0,0.0,0.0,0.7,0.24
108,Should direct mesocolon invasion be included in T4 for the staging of gastric cancer?,Medium,2,1.0,0.0,0.0,1.0,0.0
109,Do older patients receive adequate stroke care?,Medium,2,0.8,0.2,0.4,0.9,0.32
110,Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,Medium,2,0.3333333333333333,0.6667,1.3333,1.0,0.8
111,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,High,3,1.0,0.0,0.0,0.3,0.84
112,Does rugby headgear prevent concussion?,Medium,2,1.0,0.0,0.0,1.0,0.0
113,Are tuberculosis patients adherent to prescribed treatments in China?,High,3,1.0,0.0,0.0,0.9,0.12
114,"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?",Medium,2,1.0,0.0,0.0,0.6,0.32
115,Vaginal dose assessment in image-guided brachytherapy for cervical cancer: Can we really rely on dose-point evaluation?,High,3,0.8,0.2,0.6,0.3,1.2
116,Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,Medium,2,0.75,0.25,0.5,0.9,0.38
117,Standardizing care in medical oncology: are Web-based systems the answer?,Medium,2,1.0,0.0,0.0,1.0,0.0
118,Health care for immigrants in Europe: is there still consensus among country experts about principles of good practice?,Low,1,1.0,0.0,0.0,1.0,0.0
119,Does obstructive sleep apnea affect aerobic fitness?,Medium,2,1.0,0.0,0.0,0.3,0.56
120,Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,High,3,1.0,0.0,0.0,0.8,0.24
121,BCRABL transcript detection by quantitative real-time PCR : are correlated results possible from homebrew assays?,Medium,2,1.0,0.0,0.0,0.9,0.08
122,Sternal fracture in growing children : A rare and often overlooked fracture?,Medium,2,1.0,0.0,0.0,0.2,0.64
123,Could different follow-up modalities play a role in the diagnosis of asymptomatic endometrial cancer relapses?,Medium,2,1.0,0.0,0.0,0.2,0.64
124,Should HIV-infected patients be screened for silent myocardial ischaemia using gated myocardial perfusion SPECT?,Medium,2,1.0,0.0,0.0,1.0,0.0
125,Do we need imaging to diagnose appendicitis in children?,Medium,2,1.0,0.0,0.0,1.0,0.0
126,Gluten tolerance in adult patients with celiac disease 20 years after diagnosis?,Medium,2,1.0,0.0,0.0,0.0,0.8
127,Outcome Feedback within Emergency Medicine Training Programs: An Opportunity to Apply the Theory of Deliberate Practice?,Medium,2,1.0,0.0,0.0,0.8,0.16
128,Are home sampling kits for sexually transmitted infections acceptable among men who have sex with men?,Medium,2,1.0,0.0,0.0,0.3,0.56
129,Is it possible to stop treatment with nucleos(t)ide analogs in patients with e-antigen negative chronic hepatitis B?,High,3,1.0,0.0,0.0,0.7,0.36
130,Are the elderly with oropharyngeal carcinoma undertreated?,High,3,1.0,0.0,0.0,0.7,0.36
131,Can bisphosphonate treatment be stopped in a growing child with skeletal fragility?,High,3,1.0,0.0,0.0,0.4,0.72
132,Do Web-based and clinic samples of gay men living with HIV differ on self-reported physical and psychological symptoms?,Medium,2,0.6666666666666666,0.3333,0.6667,0.2,1.04
133,Can implant retention be recommended for treatment of infected TKA?,High,3,1.0,0.0,0.0,0.9,0.12
134,Does solid culture for tuberculosis influence clinical decision making in India?,Medium,2,1.0,0.0,0.0,0.9,0.08
135,Does vaginal intraepithelial neoplasia have the same evolution as cervical intraepithelial neoplasia?,Medium,2,1.0,0.0,0.0,1.0,0.0
136,Are opioid dependence and methadone maintenance treatment (MMT) documented in the medical record?,High,3,1.0,0.0,0.0,0.5,0.6
137,Empiric treatment of uncomplicated urinary tract infection with fluoroquinolones in older women in Israel: another lost treatment option?,High,3,0.6666666666666666,0.3333,1.0,0.7,0.96
138,"Are lifetime prevalence of impetigo, molluscum and herpes infection really increased in children having atopic dermatitis?",Medium,2,0.8,0.2,0.4,1.0,0.24
139,Does the severity of obstructive sleep apnea predict patients requiring high continuous positive airway pressure?,Medium,2,1.0,0.0,0.0,0.5,0.4
140,Does the familial transmission of drinking patterns persist into young adulthood?,Low,1,1.0,0.0,0.0,1.0,0.0
141,Does limb-salvage surgery offer patients better quality of life and functional capacity than amputation?,High,3,1.0,0.0,0.0,1.0,0.0
142,Does managed care enable more low income persons to identify a usual source of care?,Low,1,1.0,0.0,0.0,0.6,0.16
143,Do parents recall and understand children's weight status information after BMI screening?,Low,1,1.0,0.0,0.0,0.6,0.16
144,Storage of vaccines in the community: weak link in the cold chain?,High,3,1.0,0.0,0.0,0.8,0.24
145,HIF1A as a major vascular endothelial growth factor regulator: do its polymorphisms have an association with age-related macular degeneration?,Medium,2,1.0,0.0,0.0,0.4,0.48
146,Does ultrasound imaging before puncture facilitate internal jugular vein cannulation?,Medium,2,1.0,0.0,0.0,1.0,0.0
147,Cutaneous melanoma in a multiethnic population: is this a different disease?,Medium,2,1.0,0.0,0.0,0.8,0.16
148,Does timing of initial surfactant treatment make a difference in rates of chronic lung disease or mortality in premature infants?,High,3,1.0,0.0,0.0,0.4,0.72
149,Combining process indicators to evaluate quality of care for surgical patients with colorectal cancer: are scores consistent with short-term outcome?,High,3,1.0,0.0,0.0,1.0,0.0
150,"How do alcohol consumption patterns and major metabolic risk factors such as smoking, diabetes, and triglycerides influence the risk of myocardial infarction in men and women?",Medium,2,1.0,0.0,0.0,0.3,0.56
151,What were the p53 and PCNA expression rates in xanthogranulomatous cholecystitis compared with gallbladder carcinoma and chronic cholecystitis?,Low,1,1.0,0.0,0.0,1.0,0.0
152,"What were the specificity percentages of late-night salivary cortisol, 24-hour urine-free cortisol, and the 1 mg dexamethasone suppression test for screening cortisol excess in obese patients with type 2 diabetes, and which test performed best?",Medium,2,1.0,0.0,0.0,0.9,0.08
153,"How do blood pressure readings taken by physicians, nurses, and patients at home compare in reliability and usefulness for managing hypertension?",Medium,2,1.0,0.0,0.0,0.3,0.56
154,How do biochemical mediators and acute physiological parameters differ in their ability to explain hemodynamic and vascular changes in hypertensive or related cardiovascular conditions?,Medium,2,0.75,0.25,0.5,0.2,0.94
155,Do modifiable lifestyle and behavioral factors causally contribute to the development of hypertension in adults with initially optimal blood pressure?,Medium,2,1.0,0.0,0.0,0.7,0.24
156,How do hypertension alone and coexisting metabolic syndrome differ in their effects on cardiac structural remodeling in hypertensive patients?,Medium,2,1.0,0.0,0.0,1.0,0.0
157,|Can sublingual varices serve as a useful non-invasive screening indicator for identifying previously unrecognized hypertension in routine clinical or dental settings?,Medium,2,1.0,0.0,0.0,0.6,0.32
158,Can desflurane safely control surgically induced hypertension without impairing left ventricular function in patients undergoing vascular surgery who are at risk for cardiac morbidity?,High,3,1.0,0.0,0.0,1.0,0.0
159,How do multimodal or combination treatment strategies compare with single or limited therapies in their effects on survival and patient benefit across different metastatic cancers?,High,3,1.0,0.0,0.0,0.3,0.84
160,How do serum leptin levels and EGFR mutation status differ in their prognostic and predictive value in advanced lung cancer?,Medium,2,1.0,0.0,0.0,0.7,0.24
161,How do treatment-related interventions and tumor biological characteristics differ in their influence on survival outcomes in non-small cell lung cancer?,High,3,1.0,0.0,0.0,0.3,0.84
162,Under what clinical circumstances can serum-based EGFR mutation testing serve as a reliable alternative to tumor tissue analysis in patients with advanced non-small cell lung cancer?,Medium,2,1.0,0.0,0.0,0.7,0.24
163,"How do geographic access barriers and socioeconomic status differ in their impact on cancer diagnosis, treatment timing, and quality-of-life outcomes?",High,3,1.0,0.0,0.0,0.2,0.96
164,How do anatomical lymph node involvement and lymph node microenvironmental changes differ in their prognostic and staging value in lung cancer?,Medium,2,1.0,0.0,0.0,0.3,0.56
165,"Does gender independently predict survival after surgical resection for non-small cell lung cancer once clinical, pathological, and histological differences are accounted for?",High,3,0.75,0.25,0.75,1.0,0.45
166,Is exclusive chemoradiation a safe alternative to surgical resection for patients with mid or low infiltrative rectal carcinoma who achieve complete clinical response after treatment?,High,3,1.0,0.0,0.0,1.0,0.0
167,How do treatment center volume and cervical cancer screening practices differ in their impact on cancer outcomes across healthcare systems?,High,3,1.0,0.0,0.0,0.1,1.08
168,How do molecular genotype markers and inflammatory biomarkers differ in their usefulness for guiding treatment response and predicting clinical outcomes in cancer management?,High,3,0.8571428571428571,0.1429,0.4286,0.1,1.3371
169,How does a history of prior benign prostate biopsy specifically influence pathological and biochemical outcomes after radical perineal prostatectomy for localized prostate cancer?,Medium,2,1.0,0.0,0.0,1.0,0.0
170,"Which cytological preparation methods provide the most accurate detection of malignant findings in urinary cytology, particularly for high-grade urothelial lesions?",Medium,2,1.0,0.0,0.0,1.0,0.0
171,How do intraoperative neuromonitoring and postoperative anastomotic leakage differ in their impact on long-term functional outcomes after rectal cancer surgery?,High,3,1.0,0.0,0.0,0.2,0.96
172,Under what training conditions can rectal cancer surgery achieve outcomes comparable to those of experienced consultants in total mesorectal excision?,High,3,1.0,0.0,0.0,1.0,0.0
173,How do standard clinical examination guidelines and anorectal endosonography differ in their ability to support early detection and diagnosis of anorectal disorders?,Medium,2,1.0,0.0,0.0,0.1,0.72
174,"How do demographic factors such as ethnicity, cultural background, age, and gestational stage compare in their association with Group B Streptococcus colonization among pregnant women across different populations?",Low,1,1.0,0.0,0.0,1.0,0.0
175,How do central venous pressure and colloid preloading differ in their usefulness for predicting and controlling cardiovascular responses in clinical settings?,Medium,2,1.0,0.0,0.0,0.9,0.08
176,How do modified clinical strategies such as omitting balloon predilatation during transcatheter aortic valve implantation compare with standard epidural analgesia implementation in terms of achieving effective clinical outcomes across patients?,Medium,2,1.0,0.0,0.0,0.2,0.64
177,"How do continuous low-dose epinephrine infusion in gravid ewes and lung ischemia-reperfusion in pigs differ in their effects on vascular flow, hemodynamic responses, and associated biological markers?",High,3,1.0,0.0,0.0,0.1,1.08
178,Do limitations in both cervical cancer screening intervals and diagnostic sensitivity contribute to missed or delayed detection of disease?,Medium,2,1.0,0.0,0.0,0.3,0.56
179,"What were the AUC values of FDG-PET for detecting metastatic lesions in hyperglycaemic DM, euglycaemic DM, and non-DM patients, and were these differences statistically significant?",Medium,2,1.0,0.0,0.0,1.0,0.0
180,"What were the lymph node metastasis rates in NACT responders versus non-responders, and was there a significant difference in metastasis distribution between NACT and primary surgery groups?",High,3,1.0,0.0,0.0,0.5,0.6
181,Is higher population-level cancer screening coverage associated with reduced economic inequality in screening participation in middle-income countries?,Low,1,1.0,0.0,0.0,1.0,0.0
182,Do exercise interventions lead to consistent improvements in both physiological fitness and postnatal depression outcomes across different populations?,High,3,1.0,0.0,0.0,1.0,0.0
183,Do preoperative statin therapy and laparoscopic surgery reduce the risk of postoperative atrial fibrillation in different surgical settings?,High,3,1.0,0.0,0.0,1.0,0.0
184,Do ganglionated plexi (GP) ablation during Maze IV and left atrial appendage (LAA) occlusion affect similar clinical outcomes in atrial fibrillation patients?,Medium,2,1.0,0.0,0.0,0.2,0.64
185,"Is the KCNQ1 mutation alone sufficient to cause atrial fibrillation, or are additional factors such as atrial stretch or hypertension required?",Medium,2,1.0,0.0,0.0,1.0,0.0
186,"What is the correlation between complex fractionated atrial electrograms (CFAE) and sinus rhythm fractionation (SRF), and how does SRF distribution differ between atrial fibrillation patients and controls?",Medium,2,1.0,0.0,0.0,1.0,0.0
187,Do postoperative nomograms and preoperative C-reactive protein (CRP) levels have similar ability to predict clinically relevant outcomes in prostate cancer?,Medium,2,1.0,0.0,0.0,0.9,0.08
188,Do prior benign prostate biopsy and year of surgery have similar predictive value for outcomes after radical prostatectomy?,High,3,1.0,0.0,0.0,0.7,0.36
189,"Does age alone determine the benefit of curative therapy in older men with localized prostate cancer, or do tumor characteristics and comorbidity play a larger role?",High,3,1.0,0.0,0.0,0.9,0.12
190,"Do manic and mixed episode classifications remain stable over time, and does the diagnosis of bipolar disorder vary depending on the diagnostic method used?",Medium,2,1.0,0.0,0.0,1.0,0.0
191,Do AVPR1A genetic variants and affective disorder polarity independently predict behavioral outcomes such as hypersexuality or suicidal behavior?,Medium,2,1.0,0.0,0.0,0.2,0.64
192,Is aripiprazole associated with an increased risk of pathological gambling in patients with psychiatric conditions?,Medium,2,1.0,0.0,0.0,0.2,0.64
193,Do dexamethasone and prednisone for acute asthma exacerbations and inhaled steroids versus cromones for maintenance asthma treatment show similar effectiveness in clinical outcomes?,High,3,1.0,0.0,0.0,1.0,0.0
194,Do frequent fast food consumption and higher body mass index have similar effects on asthma symptoms and asthma control?,Medium,2,1.0,0.0,0.0,1.0,0.0
195,Do parental restriction of R-rated movie viewing and showing antismoking advertisements before movies have similar effects on smoking-related behaviors in young people?,Medium,2,1.0,0.0,0.0,0.2,0.64
196,Do prenatal cigarette exposure and childhood violence exposure predict adolescent delinquent behavior more strongly than intrauterine cocaine exposure?,Medium,2,1.0,0.0,0.0,0.8,0.16
197,Do surgical risk factors and the use of nasogastric tubes differ in their effect on staple line leak rates after laparoscopic sleeve gastrectomy?,High,3,1.0,0.0,0.0,1.0,0.0
198,Does changing resected stomach volume during primary sleeve gastrectomy and performing revision fundectomy after surgery differ in their impact on weight loss outcomes?,High,3,1.0,0.0,0.0,0.2,0.96
199,Do DKK3 expression and body mass index differ in how reliably they predict survival outcomes in gastric cancer patients?,Medium,2,1.0,0.0,0.0,1.0,0.0
